subject_id,trial,type,stimulus,response,correct,rt
chris,0,incongruent,>><>>,left,1,0.9015043340623379
chris,1,congruent,>>>>>,right,1,0.3828515410423279
chris,2,congruent,>>>>>,right,1,0.50042241695337
chris,3,incongruent,<<><<,left,0,0.4531812500208616
chris,4,incongruent,<<><<,right,1,0.6077340841293335
chris,5,congruent,>>>>>,right,1,0.40205287490971386
chris,6,incongruent,>><>>,left,1,0.5425267079845071
chris,7,congruent,>>>>>,right,1,0.3900471250526607
chris,8,congruent,>>>>>,right,1,0.3920578327961266
chris,9,incongruent,<<><<,right,1,0.6162499999627471
chris,10,incongruent,<<><<,left,0,0.3014087090268731
chris,11,incongruent,<<><<,left,0,0.2669885419309139
chris,12,incongruent,<<><<,right,1,0.39874058309942484
chris,13,congruent,>>>>>,right,1,0.30795595794916153
chris,14,incongruent,<<><<,left,0,0.42033866699784994
chris,15,incongruent,>><>>,left,1,0.5679275419097394
chris,16,incongruent,>><>>,left,1,0.45383666595444083
chris,17,congruent,>>>>>,right,1,0.43429220793768764
chris,18,incongruent,>><>>,left,1,0.47691437508910894
chris,19,congruent,>>>>>,right,1,0.3740876668598503
chris,20,congruent,>>>>>,right,1,0.5215052079875022
chris,21,congruent,<<<<<,left,1,0.6253850830253214
chris,22,congruent,<<<<<,left,1,0.46039258292876184
chris,23,congruent,>>>>>,right,1,0.4556343329604715
chris,24,incongruent,>><>>,right,0,0.3609249999281019
chris,25,congruent,<<<<<,left,1,0.32109949993900955
chris,26,congruent,<<<<<,left,1,0.3925379579886794
chris,27,congruent,<<<<<,left,1,0.4397392908576876
chris,28,incongruent,>><>>,left,1,0.3849075420293957
chris,29,incongruent,>><>>,left,1,0.28954312507994473
